cve,descrip
"01","Por falta de dinero o recursos"
"02","Tenía que trabajar o entró a trabajar"
"03","Falta de interés o aptitud para la escuela (no quiso o no le gustó)"
"04","Reprobó materia(s), semestre o año, o por bajo aprovechamiento"
"05","No había escuela o estaba lejos"
"06","No cumple con los requisitos para ingresar (no pasa el examen, le falta documentación)"
"07","Discapacidad física o mental"
"08","Enfermedad o problemas de salud física o emocional (afecciones cardíacas, cáncer, depresión o ansiedad)"
"09","Se unió, casó o embarazó (la persona o su pareja)"
"10","Tenía que dedicarse a quehaceres del hogar o cuidar algún familiar"
"11","Familia o padres no la(o) dejaron seguir estudiando"
"12","Problemas personales (conflictos familiares, pareja, compañeros, amigos)"
"13","Otro"
"14","Logró su meta educativa"
