cve,descrip
"01","Por falta de dinero o recursos"
"02","Tenía que trabajar o entró a trabajar"
"03","Falta de interés o aptitud para la escuela (no quiso o no le gustó)"
"04","Logró su meta educativa"
"05","Reprobó materia(s), semestre o año, o por bajo aprovechamiento"
"06","No había escuela o estaba lejos"
"07","Discapacidad física o mental"
"08","Debido a la pandemia por COVID-19"
"09","Se enfermó de COVID-19"
"10","Enfermedad o problemas de salud física o emocional (afecciones cardíacas, cáncer, depresión o ansiedad)"
"11","Se unió, casó o embarazó (la persona o su pareja)"
"12","Tenía que dedicarse a quehaceres del hogar o cuidar algún familiar"
"13","Familia o padres no la(o) dejaron seguir estudiando"
"14","Problemas personales (conflictos familiares, pareja, compañeros, amigos)"
"15","Otro"
"16","Consideran que no tiene la edad para asistir a la escuela"
